                   edu_time test_loss test_acc eval_time
SRNN               341.06  0.97 0.8  19.56
Bidirectional_SRNN 583.22  0.96 0.75 23.04
LSTM               2383.96 0.5  0.86 72.59
Bidirectional_LSTM 6005.61 0.5  0.86 100.92
